obj_id_raw,year,base_prefix,reason
1/2024/0495 0,2024,1-2024-0495-,Keine Dateien in 2024/ mit Präfix '1-2024-0495-'
1/2024/0496 0,2024,1-2024-0496-,Keine Dateien in 2024/ mit Präfix '1-2024-0496-'
1/2024/0538 0,2024,1-2024-0538-,Keine Dateien in 2024/ mit Präfix '1-2024-0538-'
1/2024/0537 0,2024,1-2024-0537-,Keine Dateien in 2024/ mit Präfix '1-2024-0537-'
1/1996/7106 0,1996,1-1996-7106-,Keine Dateien in 1996/ mit Präfix '1-1996-7106-'
1/1996/7107 0,1996,1-1996-7107-,Keine Dateien in 1996/ mit Präfix '1-1996-7107-'
1/1996/7108 0,1996,1-1996-7108-,Keine Dateien in 1996/ mit Präfix '1-1996-7108-'
1/1996/7109 0,1996,1-1996-7109-,Keine Dateien in 1996/ mit Präfix '1-1996-7109-'
1/1996/7110 0,1996,1-1996-7110-,Keine Dateien in 1996/ mit Präfix '1-1996-7110-'
1/1996/7111 0,1996,1-1996-7111-,Keine Dateien in 1996/ mit Präfix '1-1996-7111-'
1/1996/7112 0,1996,1-1996-7112-,Keine Dateien in 1996/ mit Präfix '1-1996-7112-'
1/1996/7113 0,1996,1-1996-7113-,Keine Dateien in 1996/ mit Präfix '1-1996-7113-'
1/1996/7114 0,1996,1-1996-7114-,Keine Dateien in 1996/ mit Präfix '1-1996-7114-'
1/1996/7115 0,1996,1-1996-7115-,Keine Dateien in 1996/ mit Präfix '1-1996-7115-'
1/1996/7116 0,1996,1-1996-7116-,Keine Dateien in 1996/ mit Präfix '1-1996-7116-'
1/1996/7117 0,1996,1-1996-7117-,Keine Dateien in 1996/ mit Präfix '1-1996-7117-'
1/1996/7118 0,1996,1-1996-7118-,Keine Dateien in 1996/ mit Präfix '1-1996-7118-'
1/1996/7119 0,1996,1-1996-7119-,Keine Dateien in 1996/ mit Präfix '1-1996-7119-'
1/1996/7120 0,1996,1-1996-7120-,Keine Dateien in 1996/ mit Präfix '1-1996-7120-'
1/1996/7121 0,1996,1-1996-7121-,Keine Dateien in 1996/ mit Präfix '1-1996-7121-'
1/1996/7122 0,1996,1-1996-7122-,Keine Dateien in 1996/ mit Präfix '1-1996-7122-'
1/1996/7123 0,1996,1-1996-7123-,Keine Dateien in 1996/ mit Präfix '1-1996-7123-'
1/1996/7124 0,1996,1-1996-7124-,Keine Dateien in 1996/ mit Präfix '1-1996-7124-'
1/1996/7126 0,1996,1-1996-7126-,Keine Dateien in 1996/ mit Präfix '1-1996-7126-'
1/1996/7127 0,1996,1-1996-7127-,Keine Dateien in 1996/ mit Präfix '1-1996-7127-'
1/1996/7128 0,1996,1-1996-7128-,Keine Dateien in 1996/ mit Präfix '1-1996-7128-'
1/1996/7130 0,1996,1-1996-7130-,Keine Dateien in 1996/ mit Präfix '1-1996-7130-'
1/1996/7131 0,1996,1-1996-7131-,Keine Dateien in 1996/ mit Präfix '1-1996-7131-'
1/1996/7132 0,1996,1-1996-7132-,Keine Dateien in 1996/ mit Präfix '1-1996-7132-'
1/1996/7133 0,1996,1-1996-7133-,Keine Dateien in 1996/ mit Präfix '1-1996-7133-'
1/1996/7134 0,1996,1-1996-7134-,Keine Dateien in 1996/ mit Präfix '1-1996-7134-'
1/1996/7135 0,1996,1-1996-7135-,Keine Dateien in 1996/ mit Präfix '1-1996-7135-'
1/1996/7136 0,1996,1-1996-7136-,Keine Dateien in 1996/ mit Präfix '1-1996-7136-'
1/1996/7137 0,1996,1-1996-7137-,Keine Dateien in 1996/ mit Präfix '1-1996-7137-'
1/1996/7138 0,1996,1-1996-7138-,Keine Dateien in 1996/ mit Präfix '1-1996-7138-'
1/1996/7139 0,1996,1-1996-7139-,Keine Dateien in 1996/ mit Präfix '1-1996-7139-'
1/1996/7156 0,1996,1-1996-7156-,Keine Dateien in 1996/ mit Präfix '1-1996-7156-'
1/1996/7157 0,1996,1-1996-7157-,Keine Dateien in 1996/ mit Präfix '1-1996-7157-'
1/1996/7158 0,1996,1-1996-7158-,Keine Dateien in 1996/ mit Präfix '1-1996-7158-'
1/1996/7159 0,1996,1-1996-7159-,Keine Dateien in 1996/ mit Präfix '1-1996-7159-'
1/1996/7160 0,1996,1-1996-7160-,Keine Dateien in 1996/ mit Präfix '1-1996-7160-'
1/1996/7161 0,1996,1-1996-7161-,Keine Dateien in 1996/ mit Präfix '1-1996-7161-'
1/1996/7162 0,1996,1-1996-7162-,Keine Dateien in 1996/ mit Präfix '1-1996-7162-'
1/1996/7163 0,1996,1-1996-7163-,Keine Dateien in 1996/ mit Präfix '1-1996-7163-'
1/1996/7165 0,1996,1-1996-7165-,Keine Dateien in 1996/ mit Präfix '1-1996-7165-'
1/1996/7166 0,1996,1-1996-7166-,Keine Dateien in 1996/ mit Präfix '1-1996-7166-'
1/1996/7167 0,1996,1-1996-7167-,Keine Dateien in 1996/ mit Präfix '1-1996-7167-'
1/1996/7168 0,1996,1-1996-7168-,Keine Dateien in 1996/ mit Präfix '1-1996-7168-'
1/1996/7169 0,1996,1-1996-7169-,Keine Dateien in 1996/ mit Präfix '1-1996-7169-'
1/1996/7170 0,1996,1-1996-7170-,Keine Dateien in 1996/ mit Präfix '1-1996-7170-'
1/1996/7171 0,1996,1-1996-7171-,Keine Dateien in 1996/ mit Präfix '1-1996-7171-'
1/1996/7172 0,1996,1-1996-7172-,Keine Dateien in 1996/ mit Präfix '1-1996-7172-'
1/1996/7173 0,1996,1-1996-7173-,Keine Dateien in 1996/ mit Präfix '1-1996-7173-'
